id_cliente,abandono,genero,tercera_edad,tiene_pareja,dependientes,meses_contrato,servicio_telefónico,varias_líneas,servicio_internet,seguridad_online,respaldo_online,protección_dispositivos,soporte_tecnico,tv_por_cable,streming_peliculas,tipo_contrato,factura_electronica,metodo_pago,cargos_mensuales,total_cargos,cargos_diarios
0263_fjtqo,0,1,0,1,1,50,1,1,dsl,1,0,0,1,1,0,two_year,1,credit_card_(automatic),70.5,3486.65,2.35
0264_cnitk,0,0,0,1,1,71,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_(automatic),20.1,1389.6,0.67
0265_edxbd,1,1,1,1,0,32,1,1,fiber_optic,0,0,0,0,0,0,month_to_month,1,electronic_check,74.9,2303.35,2.5
0265_psuae,0,0,0,1,1,16,1,0,fiber_optic,1,0,1,0,1,1,month_to_month,0,bank_transfer_(automatic),100.7,1522.7,3.36
0266_clzkz,0,0,0,1,1,67,1,1,fiber_optic,0,0,1,1,1,1,two_year,1,bank_transfer_(automatic),105.65,6717.9,3.52
0266_gmeao,0,1,0,1,1,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,credit_card_(automatic),114.3,8058.55,3.81
0268_qkiwo,1,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month_to_month,0,electronic_check,19.75,58.85,0.66
0269_xfesx,0,1,0,1,1,23,1,1,no,0,0,0,0,0,0,one_year,0,mailed_check,24.35,538.5,0.81
0270_thenm,0,1,0,1,1,72,1,1,dsl,1,1,1,1,0,0,two_year,0,bank_transfer_(automatic),69.85,5102.35,2.33
0274_jkujr,0,1,0,1,1,7,0,0,dsl,1,1,1,0,1,1,month_to_month,0,mailed_check,58.85,465.7,1.96
0277_bksqp,0,1,0,1,1,8,1,0,dsl,0,0,0,0,1,0,month_to_month,1,electronic_check,54.4,475.1,1.81
0277_orxqs,0,1,0,1,1,66,0,0,dsl,0,0,0,1,1,1,two_year,0,bank_transfer_(automatic),50.55,3364.55,1.68
0278_yxoog,1,1,0,0,0,5,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,21.05,113.85,0.7
0280_xjgex,1,1,0,0,0,49,1,1,fiber_optic,0,1,1,0,1,1,month_to_month,1,bank_transfer_(automatic),103.7,5036.3,3.46
0281_cntzx,0,1,0,1,0,63,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_(automatic),19.95,1234.8,0.66
0282_nvsjs,0,0,1,1,1,12,0,0,dsl,0,0,0,1,0,0,month_to_month,1,mailed_check,29.3,355.9,0.98
0285_inhln,0,1,0,1,1,27,1,0,dsl,1,1,0,0,0,0,month_to_month,1,credit_card_(automatic),54.75,1510.3,1.82
0289_ivarm,0,0,0,0,0,35,1,0,dsl,1,1,1,0,0,0,month_to_month,0,electronic_check,60.55,1982.6,2.02
0292_wegch,0,0,0,1,1,54,1,1,dsl,0,1,1,1,1,1,month_to_month,1,electronic_check,86.2,4524.05,2.87
0295_pphdo,1,1,0,0,0,1,1,1,fiber_optic,0,0,0,0,1,1,month_to_month,1,electronic_check,95.45,95.45,3.18
0295_qvkpb,0,1,0,0,0,5,1,0,dsl,0,0,1,1,1,0,month_to_month,1,credit_card_(automatic),63.95,318.1,2.13
0297_rbcsg,0,1,0,0,0,19,1,0,dsl,0,1,0,1,0,1,one_year,1,bank_transfer_(automatic),65.35,1231.85,2.18
0298_xacet,0,1,0,1,1,52,0,0,dsl,0,1,1,1,1,0,two_year,0,mailed_check,50.2,2554.0,1.67
0301_fidrb,0,0,0,1,1,72,0,0,dsl,1,1,1,1,1,1,two_year,1,bank_transfer_(automatic),63.8,4684.3,2.13
0301_kobtq,0,1,0,0,0,32,1,0,no,0,0,0,0,0,0,two_year,1,bank_transfer_(automatic),20.05,614.45,0.67
0302_joivn,1,0,0,1,0,8,1,0,fiber_optic,0,1,1,0,1,1,month_to_month,0,electronic_check,101.15,842.9,3.37
0303_uncip,0,1,0,0,0,41,1,1,dsl,0,0,1,0,0,1,one_year,0,mailed_check,65.0,2531.8,2.17
0303_wmmrn,0,1,0,0,0,5,1,0,no,0,0,0,0,0,0,month_to_month,1,mailed_check,19.25,86.05,0.64
0305_sqecb,0,0,0,0,1,11,0,0,dsl,1,0,0,1,0,0,one_year,1,mailed_check,36.05,402.6,1.2
0306_jaele,1,1,0,0,0,5,1,0,fiber_optic,0,0,0,1,1,1,month_to_month,1,electronic_check,96.1,453.4,3.2
0307_bcopk,0,0,0,0,0,16,1,0,no,0,0,0,0,0,0,one_year,0,mailed_check,19.05,326.65,0.64
0308_giqjt,0,1,1,0,0,71,1,1,fiber_optic,0,1,0,1,1,1,one_year,0,bank_transfer_(automatic),105.75,7382.85,3.52
0308_ivgok,0,0,0,0,0,11,0,0,dsl,0,1,1,1,0,0,one_year,1,credit_card_(automatic),40.4,422.6,1.35
0310_mvlet,1,0,0,1,1,61,1,1,fiber_optic,0,1,0,0,1,1,month_to_month,1,electronic_check,99.15,6010.05,3.3
0310_sucin,0,0,0,1,0,71,1,0,dsl,1,1,1,1,1,1,one_year,1,bank_transfer_(automatic),84.8,6046.1,2.83
0310_vqxam,0,1,0,0,0,9,1,0,no,0,0,0,0,0,0,month_to_month,0,mailed_check,19.85,178.8,0.66
